"unique_id","display_week","sewershed","percentile","percentile_bin","percentile_bin_label","counties","jurisdiction","latitude","longitude","percentile_bin__colour","percentile_bin_label__colour"
"NWSS_il_405_Treatment plant-2024-04-27","2024-04-27","ID:405","0.0","1","Minimal","Bureau","Illinois","41.429936000000005","-89.462884","#1a6e6b","#82cec2"
"NWSS_il_406_Treatment plant-2024-04-27","2024-04-27","ID:406","0.0","1","Minimal","Bureau","Illinois","41.418015","-89.503917","#1a6e6b","#82cec2"
"WWS_tx_1856_Treatment plant-2024-04-27","2024-04-27","ID:1856","69.77","7","Above Average","Dallas","Texas","32.752721","-96.790039","#b77bb5","#288abd"
"WWS_ca_134_Treatment plant-2024-04-27","2024-04-27","ID:134","11.36","2","Minimal","Orange","California","33.491663","-117.696286","#318984","#82cec2"
"WWS_ca_184_Treatment plant-2024-04-27","2024-04-27","ID:184-B","Insufficient Data","0","Insufficient Data","Sonoma","California","38.387233","-122.75144900000001","#cccccc","#cccccc"
"WWS_ca_167_Treatment plant-2024-04-27","2024-04-27","ID:167","Insufficient Data","0","Insufficient Data","San Mateo","California","37.619654","-122.48157499999999","#cccccc","#cccccc"
"CDC_VERILY_hi_367_Treatment plant-2024-04-27","2024-04-27","ID:367","Insufficient Data","0","Insufficient Data","Maui","Hawaii","20.734982","-156.466275","#cccccc","#cccccc"
"CDC_VERILY_fl_315_Treatment plant-2024-04-27","2024-04-27","ID:315-A","Insufficient Data","0","Insufficient Data","Orange","Florida","28.450797","-81.45644","#cccccc","#cccccc"
"NWSS_il_455_Treatment plant-2024-04-27","2024-04-27","ID:455","0.0","1","Minimal","Lake","Illinois","42.367201","-87.930283","#1a6e6b","#82cec2"
"NWSS_ky_585_Treatment plant-2024-04-27","2024-04-27","ID:585","Insufficient Data","0","Insufficient Data","Warren","Kentucky","37.021767","-86.454432","#cccccc","#cccccc"
"NWSS_oh_1600_Treatment plant-2024-04-27","2024-04-27","ID:1600","Insufficient Data","0","Insufficient Data","Knox","Ohio","40.372460000000004","-82.493106","#cccccc","#cccccc"
"NWSS_ca_148_Treatment plant-2024-04-27","2024-04-27","ID:148-C","22.73","3","Low","San Francisco, San Mateo","California","37.72174999999999","-122.393057","#46a59e","#b1e1bb"
"NWSS_il_457_Treatment plant-2024-04-27","2024-04-27","ID:457","0.0","1","Minimal","La Salle","Illinois","41.250525","-88.828897","#1a6e6b","#82cec2"
"NWSS_il_486_Treatment plant-2024-04-27","2024-04-27","ID:486","0.0","1","Minimal","Saint Clair","Illinois","38.605528","-89.83339000000001","#1a6e6b","#82cec2"
"CDC_VERILY_nv_1179_Treatment plant-2024-04-27","2024-04-27","ID:1179-A","Insufficient Data","0","Insufficient Data","Clark","Nevada","36.104224","-115.00073400000001","#cccccc","#cccccc"
"WWS_vt_1965_Treatment plant-2024-04-27","2024-04-27","ID:1965","14.58","2","Minimal","Chittenden","Vermont","44.493278","-73.032911","#318984","#82cec2"
"NWSS_wv_2103_Treatment plant-2024-04-27","2024-04-27","ID:2103","Insufficient Data","0","Insufficient Data","Wood","West Virginia","39.287835","-81.54589","#cccccc","#cccccc"
"NWSS_il_487_Treatment plant-2024-04-27","2024-04-27","ID:487","0.0","1","Minimal","Saint Clair","Illinois","38.622316999999995","-90.118977","#1a6e6b","#82cec2"
"NWSS_il_496_Treatment plant-2024-04-27","2024-04-27","ID:496","Insufficient Data","0","Insufficient Data","Washington","Illinois","38.342039","-89.36540000000001","#cccccc","#cccccc"
"NWSS_oh_1511_Treatment plant-2024-04-27","2024-04-27","ID:1511","Insufficient Data","0","Insufficient Data","Ashtabula","Ohio","41.761063","-80.73209","#cccccc","#cccccc"
"WWS_hi_359_Treatment plant-2024-04-27","2024-04-27","ID:359-B","Insufficient Data","0","Insufficient Data","Honolulu","Hawaii","21.35519","-158.01715","#cccccc","#cccccc"
"NWSS_il_423_Treatment plant-2024-04-27","2024-04-27","ID:423","0.0","1","Minimal","Cook","Illinois","41.814129","-87.69296","#1a6e6b","#82cec2"
"CDC_VERILY_me_722_Treatment plant-2024-04-27","2024-04-27","ID:722","Insufficient Data","0","Insufficient Data","York","Maine","43.573716000000005","-70.633449","#cccccc","#cccccc"
"NWSS_oh_1630_Treatment plant-2024-04-27","2024-04-27","ID:1630","Insufficient Data","0","Insufficient Data","Marion","Ohio","40.586628000000005","-83.112487","#cccccc","#cccccc"
"NWSS_il_492_Treatment plant-2024-04-27","2024-04-27","ID:492","0.0","1","Minimal","Tazewell","Illinois","40.541928","-89.637359","#1a6e6b","#82cec2"
